<<<<<<< Updated upstream
EXPOCODE,Ship_Name.x,Date,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Station_ID,Latitude,Longitude,Depth,CTDTEMP_ITS90,CTDTEMP_flag,Salinity_PSS78,Salinity_flag,DIC,DIC_flag,TA,TA_flag,Date_obj,Date_format,Cst_Cnt,Btl_Cnt,Depth_ID,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_Sal,R_DYNHT,R_Nuts,R_Oxy_µmol/Kg,DIC1,DIC2,TA1,TA2,pH1,pH2,DIC Quality Comment,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Quarter,Sta_Code,Distance,Year,Month,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,St_Line,Ac_Line,Rpt_Sta,St_Station,Ac_Sta,Bottom_D,Secchi,ForelU,Ship_Name.y,Ship_Code,Data_Type,Order_Occ,Event_Num,Cruz_Leg,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,IntC14,Inc_Str,Inc_End,PST_LAN,Civil_T,TimeZone,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
31EB19830318,ELLEN B. SCRIPPS,3/19/1983,1983,3,19,00:00:00,090.0 062.0,32.3513,-120.0954,10,15.360,2,NA,2,1989.4,2,NaN,2,1983-03-19,03/19/1983,22385,550174,19-8303EB-HY-078-0952-09000620-0010A-7,15.36,33.361,5.86,24.631,102.7,255.4164,NA,7,2,NA,3,NA,9,NA,NA,NA,0.1,NA,0.02,NA,0.33,NA,2.2,NA,0,NA,0.1,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,15.36,330.2,0.03,NA,255.4164,NA,NA,NA,NA,NA,NA,NA,1983-03-18-C-31EB,198303,19830309000620,09000620,19-8303EB-HY-078-0952-09000620,1,NST,-138.93,1983,3,30394,78,09:52:00,32.331666,32,19.9,N,-120.125,-120,7.5,W,90.0,90,90,62.0,62,62.5,2595,NA,NA,ELLEN B. SCRIPPS,31EB,HY,NA,3427,NA,90   62,3101,8303,21.7,NA,NA,NA,NA,NA,NA,27,8,5,30,20,1010,14.7,11.7,NA,NA,7,7
31EB19830318,ELLEN B. SCRIPPS,3/19/1983,1983,3,19,00:00:00,090.0 062.0,32.3513,-120.0954,10,NaN,2,NA,2,1989.8,2,NaN,2,1983-03-19,03/19/1983,22385,550174,19-8303EB-HY-078-0952-09000620-0010A-7,15.36,33.361,5.86,24.631,102.7,255.4164,NA,7,2,NA,3,NA,9,NA,NA,NA,0.1,NA,0.02,NA,0.33,NA,2.2,NA,0,NA,0.1,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,15.36,330.2,0.03,NA,255.4164,NA,NA,NA,NA,NA,NA,NA,1983-03-18-C-31EB,198303,19830309000620,09000620,19-8303EB-HY-078-0952-09000620,1,NST,-138.93,1983,3,30394,78,09:52:00,32.331666,32,19.9,N,-120.125,-120,7.5,W,90.0,90,90,62.0,62,62.5,2595,NA,NA,ELLEN B. SCRIPPS,31EB,HY,NA,3427,NA,90   62,3101,8303,21.7,NA,NA,NA,NA,NA,NA,27,8,5,30,20,1010,14.7,11.7,NA,NA,7,7
31EB19830318,ELLEN B. SCRIPPS,3/19/1983,1983,3,19,00:00:00,090.0 062.0,32.3513,-120.0954,10,NaN,2,NA,2,1989.3,2,NaN,2,1983-03-19,03/19/1983,22385,550174,19-8303EB-HY-078-0952-09000620-0010A-7,15.36,33.361,5.86,24.631,102.7,255.4164,NA,7,2,NA,3,NA,9,NA,NA,NA,0.1,NA,0.02,NA,0.33,NA,2.2,NA,0,NA,0.1,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,15.36,330.2,0.03,NA,255.4164,NA,NA,NA,NA,NA,NA,NA,1983-03-18-C-31EB,198303,19830309000620,09000620,19-8303EB-HY-078-0952-09000620,1,NST,-138.93,1983,3,30394,78,09:52:00,32.331666,32,19.9,N,-120.125,-120,7.5,W,90.0,90,90,62.0,62,62.5,2595,NA,NA,ELLEN B. SCRIPPS,31EB,HY,NA,3427,NA,90   62,3101,8303,21.7,NA,NA,NA,NA,NA,NA,27,8,5,30,20,1010,14.7,11.7,NA,NA,7,7
31EB19830318,ELLEN B. SCRIPPS,3/19/1983,1983,3,19,00:00:00,090.0 062.0,32.3513,-120.0954,10,NaN,2,NA,2,1988.6,2,NaN,2,1983-03-19,03/19/1983,22385,550174,19-8303EB-HY-078-0952-09000620-0010A-7,15.36,33.361,5.86,24.631,102.7,255.4164,NA,7,2,NA,3,NA,9,NA,NA,NA,0.1,NA,0.02,NA,0.33,NA,2.2,NA,0,NA,0.1,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,15.36,330.2,0.03,NA,255.4164,NA,NA,NA,NA,NA,NA,NA,1983-03-18-C-31EB,198303,19830309000620,09000620,19-8303EB-HY-078-0952-09000620,1,NST,-138.93,1983,3,30394,78,09:52:00,32.331666,32,19.9,N,-120.125,-120,7.5,W,90.0,90,90,62.0,62,62.5,2595,NA,NA,ELLEN B. SCRIPPS,31EB,HY,NA,3427,NA,90   62,3101,8303,21.7,NA,NA,NA,NA,NA,NA,27,8,5,30,20,1010,14.7,11.7,NA,NA,7,7
32WC19830406,WESTWIND,4/6/1983,1983,4,6,00:00:00,090.0 060.0,32.4179,-119.9593,10,15.060,2,33.282,2,1991.5,2,NaN,2,1983-04-06,04/06/1983,22405,550515,19-8304WC-HY-096-1916-09000600-0010A-3,15.06,33.293,5.92,24.644,103.1,258.0284,NA,3,2,NA,3,NA,9,NA,NA,NA,0.22,NA,0.03,NA,0.38,NA,2.2,NA,0.01,NA,0.2,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,15.06,328.9,0.03,NA,258.0284,NA,NA,NA,NA,NA,NA,NA,1983-04-06-C-32WC,198304,19830409000600,09000600,19-8304WC-HY-096-1916-09000600,2,ST,-128.91,1983,4,30412,96,19:16:00,32.416666,32,25,N,-119.955,-119,57.3,W,90.0,90,90,60.0,60,60,915,NA,NA,WESTWIND,32WC,HY,NA,3448,NA,90   60,3103,8304,22.3,NA,NA,NA,NA,NA,NA,32,5,NA,36,12,1014.2,16.9,11.6,0,NA,0,8
32WC19830406,WESTWIND,4/6/1983,1983,4,6,00:00:00,090.0 060.0,32.4179,-119.9593,10,NaN,2,33.281,2,1988.5,2,NaN,2,1983-04-06,04/06/1983,22405,550515,19-8304WC-HY-096-1916-09000600-0010A-3,15.06,33.293,5.92,24.644,103.1,258.0284,NA,3,2,NA,3,NA,9,NA,NA,NA,0.22,NA,0.03,NA,0.38,NA,2.2,NA,0.01,NA,0.2,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,15.06,328.9,0.03,NA,258.0284,NA,NA,NA,NA,NA,NA,NA,1983-04-06-C-32WC,198304,19830409000600,09000600,19-8304WC-HY-096-1916-09000600,2,ST,-128.91,1983,4,30412,96,19:16:00,32.416666,32,25,N,-119.955,-119,57.3,W,90.0,90,90,60.0,60,60,915,NA,NA,WESTWIND,32WC,HY,NA,3448,NA,90   60,3103,8304,22.3,NA,NA,NA,NA,NA,NA,32,5,NA,36,12,1014.2,16.9,11.6,0,NA,0,8
32WC19830406,WESTWIND,4/6/1983,1983,4,6,00:00:00,090.0 065.0,32.2513,-120.2993,10,15.230,2,33.395,2,1992.9,2,NaN,2,1983-04-06,04/06/1983,22406,550537,19-8304WC-HY-096-1548-09000650-0010A-3,15.23,33.409,5.88,24.697,102.8,256.2717,NA,3,2,NA,3,NA,9,NA,NA,NA,0.27,NA,0.04,NA,0.32,NA,2.3,NA,0.01,NA,0,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,15.23,324,0.03,NA,256.2717,NA,NA,NA,NA,NA,NA,NA,1983-04-06-C-32WC,198304,19830409000650,09000650,19-8304WC-HY-096-1548-09000650,2,NRO,-149.27,1983,4,30412,96,15:48:00,32.243333,32,14.6,N,-120.3,-120,18,W,90.0,90,90,65.0,65,65.1,3036,NA,NA,WESTWIND,32WC,HY,NA,3449,NA,90   65,3103,8304,79.4,NA,NA,NA,NA,NA,NA,32,5,NA,35,15,1013.5,15.8,12.6,0,NA,0,8
32WC19830406,WESTWIND,4/6/1983,1983,4,6,00:00:00,090.0 065.0,32.2513,-120.2993,10,NaN,2,33.398,2,1991.8,2,NaN,2,1983-04-06,04/06/1983,22406,550537,19-8304WC-HY-096-1548-09000650-0010A-3,15.23,33.409,5.88,24.697,102.8,256.2717,NA,3,2,NA,3,NA,9,NA,NA,NA,0.27,NA,0.04,NA,0.32,NA,2.3,NA,0.01,NA,0,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,15.23,324,0.03,NA,256.2717,NA,NA,NA,NA,NA,NA,NA,1983-04-06-C-32WC,198304,19830409000650,09000650,19-8304WC-HY-096-1548-09000650,2,NRO,-149.27,1983,4,30412,96,15:48:00,32.243333,32,14.6,N,-120.3,-120,18,W,90.0,90,90,65.0,65,65.1,3036,NA,NA,WESTWIND,32WC,HY,NA,3449,NA,90   65,3103,8304,79.4,NA,NA,NA,NA,NA,NA,32,5,NA,35,15,1013.5,15.8,12.6,0,NA,0,8
31EB19830817,ELLEN B. SCRIPPS,8/19/1983,1983,8,19,00:00:00,090.0 060.0,32.4179,-119.9593,10,19.680,2,33.419,2,1978.9,2,NaN,2,1983-08-19,08/19/1983,22445,551569,19-8308EB-HY-231-0155-09000600-0010A-7,19.67,33.402,5.42,23.631,103.3,236.4692,NA,7,2,NA,3,NA,9,NA,NA,NA,0.17,NA,0.03,NA,0.28,NA,0.7,NA,0.02,NA,0.2,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,19.67,425.7,0.04,NA,236.4692,NA,NA,NA,NA,NA,NA,NA,1983-08-17-C-31EB,198308,19830809000600,09000600,19-8308EB-HY-231-0155-09000600,3,ST,-129.35,1983,8,30547,231,01:55:00,32.405,32,24.3,N,-119.956666,-119,57.4,W,90.0,90,90.1,60.0,60,60.1,889,NA,NA,ELLEN B. SCRIPPS,31EB,HY,NA,3492,NA,90   60,3101,8308,27.3,NA,NA,NA,NA,NA,NA,31,4,5,31,4,1013.8,18.7,18.1,2,6,8,7
31EB19830817,ELLEN B. SCRIPPS,8/19/1983,1983,8,19,00:00:00,090.0 060.0,32.4179,-119.9593,10,NaN,2,NA,2,1979.0,2,NaN,2,1983-08-19,08/19/1983,22445,551569,19-8308EB-HY-231-0155-09000600-0010A-7,19.67,33.402,5.42,23.631,103.3,236.4692,NA,7,2,NA,3,NA,9,NA,NA,NA,0.17,NA,0.03,NA,0.28,NA,0.7,NA,0.02,NA,0.2,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,10,19.67,425.7,0.04,NA,236.4692,NA,NA,NA,NA,NA,NA,NA,1983-08-17-C-31EB,198308,19830809000600,09000600,19-8308EB-HY-231-0155-09000600,3,ST,-129.35,1983,8,30547,231,01:55:00,32.405,32,24.3,N,-119.956666,-119,57.4,W,90.0,90,90.1,60.0,60,60.1,889,NA,NA,ELLEN B. SCRIPPS,31EB,HY,NA,3492,NA,90   60,3101,8308,27.3,NA,NA,NA,NA,NA,NA,31,4,5,31,4,1013.8,18.7,18.1,2,6,8,7
